fluoorescent2: Wavelength (nm),fluoorescent2: Intensity (rel),LED1: Intensity (rel),LED2: Intensity (rel),incandescent1: Intensity (rel),incandescent2: Intensity (rel),fluorescent1: Intensity (rel)
769.8,0.016673618,0.017364597,0.016155235,0.059273925,0.059516882,0.016993252
770.6,0.01726872,0.017742682,0.016323932,0.058860236,0.059178641,0.016476141
771.4,0.016583759,0.018165696,0.016438375,0.059512135,0.059486364,0.016624492
772.2,0.016618516,0.018511567,0.016568924,0.059370565,0.059440587,0.017061918
772.9,0.015508846,0.018545476,0.016484152,0.058939074,0.058909912,0.017313692
773.7,0.016055628,0.018008019,0.016029772,0.05801336,0.05888109,0.017293346
774.5,0.016240431,0.018192823,0.016001797,0.057075778,0.058664073,0.016807601
775.3,0.016592237,0.017983435,0.01640277,0.056489153,0.058425015,0.01626421
776.1,0.016052237,0.01829455,0.01668591,0.055688902,0.057673932,0.016217585
776.8,0.01564872,0.017794393,0.016308673,0.055699923,0.057044073,0.016250646
777.6,0.015371515,0.017320516,0.016160321,0.055323534,0.056824513,0.016165874
778.4,0.015960683,0.017550249,0.016025533,0.055495622,0.055887778,0.01564961
779.2,0.015765706,0.01765028,0.016708799,0.055010724,0.055412206,0.015445309
780,0.015765706,0.018008867,0.016553665,0.054699609,0.055261311,0.015747946
